SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG, loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
PIVUS079_Aligned--06_immune_output,2,0,0,26,2,3,0,3,0,0,42,10,4,0,0.636514168295,0,0,3.11862688524,0.610864302055,1.0397207708399998,0
PIVUS080_Aligned--06_immune_output,2,0,0,23,3,0,0,2,0,0,59,6,0,0,0.6931471805600001,0,0,2.8977494336799996,1.0114042647100001,0.0,0
PIVUS081_Aligned--06_immune_output,0,0,0,13,2,0,0,0,0,0,27,10,0,0,0.0,0,0,2.29048440004,0.500402423538,0.0,0
PIVUS082_Aligned--06_immune_output,1,0,0,13,2,1,0,3,0,0,22,7,2,0,-0.0,0,0,2.43712464631,0.598269588585,-0.0,0
PIVUS085_Aligned--06_immune_output,2,0,0,16,2,1,0,2,0,0,42,2,1,0,0.6931471805600001,0,0,2.54340131972,0.6931471805600001,-0.0,0
PIVUS086_Aligned--06_immune_output,0,1,0,13,2,0,0,0,2,0,22,3,0,0,0.0,-0.0,0,2.3978952728,0.636514168295,0.0,0
PIVUS087_Aligned--06_immune_output,4,0,0,20,2,1,0,7,0,0,39,14,2,0,1.2770342594700002,0,0,2.74555957379,0.6931471805600001,-0.0,0
PIVUS088_Aligned--06_immune_output,2,1,0,22,3,1,0,3,20,0,41,11,1,0,0.636514168295,-0.0,0,2.9252576297500004,0.7595473914749999,-0.0,0
PIVUS089_Aligned--06_immune_output,0,0,0,19,5,0,0,0,0,0,35,18,0,0,0.0,0,0,2.76764694095,0.83777161264,0.0,0
PIVUS090_Aligned--06_immune_output,1,0,0,26,4,0,0,1,0,0,48,4,0,0,-0.0,0,0,3.0130570471099998,1.3862943611200003,0.0,0
PIVUS091_Aligned--06_immune_output,2,0,0,18,4,0,0,2,0,0,36,22,0,0,0.6931471805600001,0,0,2.62006168582,1.05979844994,0.0,0
PIVUS092_Aligned--06_immune_output,3,0,0,20,2,0,0,4,0,0,52,4,0,0,1.0397207708399998,0,0,2.7442966923900003,0.562335144619,0.0,0
PIVUS093_Aligned--06_immune_output,2,2,0,17,6,1,0,5,7,0,29,19,1,0,0.6730116670090001,0.598269588585,0,2.66196419746,1.55814461805,-0.0,0
